;"Category =COUNTIF(G:G;""Male"")";;Survived;Pclass;Age;Sex;PassengerId
;Male;;0;3;26;male;70
;Male;;0;2;32;male;71
;Child;;0;3;16;female;72
;Male;;0;2;21;male;73
;Male;;0;3;26;male;74
;Male;;1;3;32;male;75
;Male;;0;3;25;male;76
;Child;;0;3;;male;77
;Child;;0;3;;male;78
;Child;;1;2;0.83;male;79
;Female;;1;3;30;female;80
;Male;;0;3;22;male;81
;Male;;1;3;29;male;82
;Child;;1;3;;female;83
;Male;;0;1;28;male;84
;Child;;1;2;17;female;85
;Female;;1;3;33;female;86
;Child;;0;3;16;male;87
;Child;;0;3;;male;88
;Female;;1;1;23;female;89
;Male;;0;3;24;male;90
;Male;;0;3;29;male;91
;Male;;0;3;20;male;92
;Male;;0;1;46;male;93
;Male;;0;3;26;male;94
;Male;;0;3;59;male;95
;Child;;0;3;;male;96
;Male;;0;1;71;male;97
;Male;;1;1;23;male;98
;Female;;1;2;34;female;99
;Male;;0;2;34;male;100
;Female;;0;3;28;female;101
;Child;;0;3;;male;102
;Male;;0;1;21;male;103
;Male;;0;3;33;male;104
;Male;;0;3;37;male;105
;Male;;0;3;28;male;106
;Female;;1;3;21;female;107
;Child;;1;3;;male;108
;Male;;0;3;38;male;109
;Child;;1;3;;female;110
;Male;;0;1;47;male;111
;Child;;0;3;14.5;female;112
;Male;;0;3;22;male;113
;Female;;0;3;20;female;114
;Child;;0;3;17;female;115
;Male;;0;3;21;male;116
;Male;;0;3;70.5;male;117
;Male;;0;2;29;male;118
;Male;;0;1;24;male;119
;Child;;0;3;2;female;120
;Male;;0;2;21;male;121
;Child;;0;3;;male;122
;Male;;0;2;32.5;male;123
;Female;;1;2;32.5;female;124
;Male;;0;1;54;male;125
;Child;;1;3;12;male;126
;Child;;0;3;;male;127
;Male;;1;3;24;male;128
;Child;;1;3;;female;129
;Male;;0;3;45;male;130
;Male;;0;3;33;male;131
;Male;;0;3;20;male;132
;Female;;0;3;47;female;133
;Female;;1;2;29;female;134
;Male;;0;2;25;male;135
;Male;;0;2;23;male;136
;Female;;1;1;19;female;137
;Male;;0;1;37;male;138
;Child;;0;3;16;male;139
;Male;;0;1;24;male;140
;Child;;0;3;;female;141
;Female;;1;3;22;female;142
;Female;;1;3;24;female;143
;Male;;0;3;19;male;144
;Male;;0;2;18;male;145
;Male;;0;2;19;male;146
;Male;;1;3;27;male;147
;Child;;0;3;9;female;148
;Male;;0;2;36.5;male;149
;Male;;0;2;42;male;150
;Male;;0;2;51;male;151
;Female;;1;1;22;female;152
;Male;;0;3;55.5;male;153
;Male;;0;3;40.5;male;154
;Child;;0;3;;male;155
;Male;;0;1;51;male;156
;Child;;1;3;16;female;157
;Male;;0;3;30;male;158
;Child;;0;3;;male;159
;Child;;0;3;;male;160
;Male;;0;3;44;male;161
;Female;;1;2;40;female;162
;Male;;0;3;26;male;163
;Child;;0;3;17;male;164
;Child;;0;3;1;male;165
;Child;;1;3;9;male;166
;Child;;1;1;;female;167
;Female;;0;3;45;female;168
;Child;;0;1;;male;169
;Male;;0;3;28;male;170
;Male;;0;1;61;male;171
;Child;;0;3;4;male;172
;Child;;1;3;1;female;173
;Male;;0;3;21;male;174
;Male;;0;1;56;male;175
;Male;;0;3;18;male;176
;Child;;0;3;;male;177
;Female;;0;1;50;female;178
;Male;;0;2;30;male;179
;Male;;0;3;36;male;180
;Child;;0;3;;female;181
;Child;;0;2;;male;182
;Child;;0;3;9;male;183
;Child;;1;2;1;male;184
;Child;;1;3;4;female;185
;Child;;0;1;;male;186
;Child;;1;3;;female;187
;Male;;1;1;45;male;188
;Male;;0;3;40;male;189
;Male;;0;3;36;male;190
;Female;;1;2;32;female;191
;Male;;0;2;19;male;192
;Female;;1;3;19;female;193
;Child;;1;2;3;male;194
;Female;;1;1;44;female;195
;Female;;1;1;58;female;196
;Child;;0;3;;male;197
;Male;;0;3;42;male;198
;Child;;1;3;;female;199
;Female;;0;2;24;female;200
;Male;;0;3;28;male;201
;Child;;0;3;;male;202
;Male;;0;3;34;male;203
;Male;;0;3;45.5;male;204
;Male;;1;3;18;male;205
;Child;;0;3;2;female;206
;Male;;0;3;32;male;207
;Male;;1;3;26;male;208
;Child;;1;3;16;female;209
;Male;;1;1;40;male;210
;Male;;0;3;24;male;211
;Female;;1;2;35;female;212
;Male;;0;3;22;male;213
;Male;;0;2;30;male;214
;Child;;0;3;;male;215
;Female;;1;1;31;female;216
;Female;;1;3;27;female;217
;Male;;0;2;42;male;218
;Female;;1;1;32;female;219
;Male;;0;2;30;male;220
;Child;;1;3;16;male;221
;Male;;0;2;27;male;222
;Male;;0;3;51;male;223
;Child;;0;3;;male;224
;Male;;1;1;38;male;225
;Male;;0;3;22;male;226
;Male;;1;2;19;male;227
;Male;;0;3;20.5;male;228
;Male;;0;2;18;male;229
;Child;;0;3;;female;230
;Female;;1;1;35;female;231
;Male;;0;3;29;male;232
;Male;;0;2;59;male;233
;Child;;1;3;5;female;234
;Male;;0;2;24;male;235
;Child;;0;3;;female;236
;Male;;0;2;44;male;237
;Child;;1;2;8;female;238
;Male;;0;2;19;male;239
;Male;;0;2;33;male;240
;Child;;0;3;;female;241
;Child;;1;3;;female;242
;Male;;0;2;29;male;243
;Male;;0;3;22;male;244
;Male;;0;3;30;male;245
;Male;;0;1;44;male;246
;Female;;0;3;25;female;247
;Female;;1;2;24;female;248
;Male;;1;1;37;male;249
;Male;;0;2;54;male;250
;Child;;0;3;;male;251
;Female;;0;3;29;female;252
;Male;;0;1;62;male;253
;Male;;0;3;30;male;254
;Female;;0;3;41;female;255
;Female;;1;3;29;female;256
;Child;;1;1;;female;257
;Female;;1;1;30;female;258
;Female;;1;1;35;female;259
;Female;;1;2;50;female;260
;Child;;0;3;;male;261
;Child;;1;3;3;male;262
;Male;;0;1;52;male;263
;Male;;0;1;40;male;264
;Child;;0;3;;female;265
;Male;;0;2;36;male;266
;Child;;0;3;16;male;267
;Male;;1;3;25;male;268
;Female;;1;1;58;female;269
;Female;;1;1;35;female;270
;Child;;0;1;;male;271
;Male;;1;3;25;male;272
;Female;;1;2;41;female;273
;Male;;0;1;37;male;274
;Child;;1;3;;female;275
;Female;;1;1;63;female;276
;Female;;0;3;45;female;277
;Child;;0;2;;male;278
;Child;;0;3;7;male;279
;Female;;1;3;35;female;280
;Male;;0;3;65;male;281
;Male;;0;3;28;male;282
;Child;;0;3;16;male;283
;Male;;1;3;19;male;284
;Child;;0;1;;male;285
;Male;;0;3;33;male;286
;Male;;1;3;30;male;287
;Male;;0;3;22;male;288
;Male;;1;2;42;male;289
;Female;;1;3;22;female;290
;Female;;1;1;26;female;291
;Female;;1;1;19;female;292
;Male;;0;2;36;male;293
;Female;;0;3;24;female;294
;Male;;0;3;24;male;295
;Child;;0;1;;male;296
;Male;;0;3;23.5;male;297
;Child;;0;1;2;female;298
;Child;;1;1;;male;299
;Female;;1;1;50;female;300
;Child;;1;3;;female;301
;Child;;1;3;;male;302
;Male;;0;3;19;male;303
;Child;;1;2;;female;304
;Child;;0;3;;male;305
;Child;;1;1;0.92;male;306
;Child;;1;1;;female;307
;Child;;1;1;17;female;308
;Male;;0;2;30;male;309
;Female;;1;1;30;female;310
;Female;;1;1;24;female;311
;Female;;1;1;18;female;312
;Female;;0;2;26;female;313
;Male;;0;3;28;male;314
;Male;;0;2;43;male;315
;Female;;1;3;26;female;316
;Female;;1;2;24;female;317
;Male;;0;2;54;male;318
;Female;;1;1;31;female;319
;Female;;1;1;40;female;320
;Male;;0;3;22;male;321
;Male;;0;3;27;male;322
;Female;;1;2;30;female;323
;Female;;1;2;22;female;324
;Child;;0;3;;male;325
;Female;;1;1;36;female;326
;Male;;0;3;61;male;327
;Female;;1;2;36;female;328
;Female;;1;3;31;female;329
;Child;;1;1;16;female;330
;Child;;1;3;;female;331
;Male;;0;1;45.5;male;332
;Male;;0;1;38;male;333
;Child;;0;3;16;male;334
;Child;;1;1;;female;335
;Child;;0;3;;male;336
;Male;;0;1;29;male;337
;Female;;1;1;41;female;338
;Male;;1;3;45;male;339
;Male;;0;1;45;male;340
;Child;;1;2;2;male;341
;Female;;1;1;24;female;342
;Male;;0;2;28;male;343
;Male;;0;2;25;male;344
;Male;;0;2;36;male;345
;Female;;1;2;24;female;346
;Female;;1;2;40;female;347
;Child;;1;3;;female;348
;Child;;1;3;3;male;349
;Male;;0;3;42;male;350
;Male;;0;3;23;male;351
;Child;;0;1;;male;352
;Child;;0;3;15;male;353
;Male;;0;3;25;male;354
;Child;;0;3;;male;355
;Male;;0;3;28;male;356
;Female;;1;1;22;female;357
;Female;;0;2;38;female;358
;Child;;1;3;;female;359
;Child;;1;3;;female;360
;Male;;0;3;40;male;361
;Male;;0;2;29;male;362
;Female;;0;3;45;female;363
;Male;;0;3;35;male;364
;Child;;0;3;;male;365
;Male;;0;3;30;male;366
;Female;;1;1;60;female;367
;Child;;1;3;;female;368
;Child;;1;3;;female;369
;Female;;1;1;24;female;370
;Male;;1;1;25;male;371
;Male;;0;3;18;male;372
;Male;;0;3;19;male;373
;Male;;0;1;22;male;374
;Child;;0;3;3;female;375
;Child;;1;1;;female;376
;Female;;1;3;22;female;377
;Male;;0;1;27;male;378
;Male;;0;3;20;male;379
;Male;;0;3;19;male;380
;Female;;1;1;42;female;381
;Child;;1;3;1;female;382
;Male;;0;3;32;male;383
;Female;;1;1;35;female;384
;Child;;0;3;;male;385
;Male;;0;2;18;male;386
;Child;;0;3;1;male;387
;Female;;1;2;36;female;388
;Child;;0;3;;male;389
;Child;;1;2;17;female;390
;Male;;1;1;36;male;391
;Male;;1;3;21;male;392
;Male;;0;3;28;male;393
;Female;;1;1;23;female;394
;Female;;1;3;24;female;395
;Male;;0;3;22;male;396
;Female;;0;3;31;female;397
;Male;;0;2;46;male;398
;Male;;0;2;23;male;399
;Female;;1;2;28;female;400
;Male;;1;3;39;male;401
;Male;;0;3;26;male;402
;Female;;0;3;21;female;403
;Male;;0;3;28;male;404
;Female;;0;3;20;female;405
;Male;;0;2;34;male;406
;Male;;0;3;51;male;407
;Child;;1;2;3;male;408
;Male;;0;3;21;male;409
;Child;;0;3;;female;410
;Child;;0;3;;male;411
;Child;;0;3;;male;412
;Female;;1;1;33;female;413
;Child;;0;2;;male;414
;Male;;1;3;44;male;415
;Child;;0;3;;female;416
;Female;;1;2;34;female;417
;Female;;1;2;18;female;418
;Male;;0;2;30;male;419
;Child;;0;3;10;female;420
;Child;;0;3;;male;421
;Male;;0;3;21;male;422
;Male;;0;3;29;male;423
;Female;;0;3;28;female;424
;Male;;0;3;18;male;425
;Child;;0;3;;male;426
;Female;;1;2;28;female;427
;Female;;1;2;19;female;428
;Child;;0;3;;male;429
;Male;;1;3;32;male;430
;Male;;1;1;28;male;431
;Child;;1;3;;female;432
;Female;;1;2;42;female;433
;Child;;0;3;17;male;434
;Male;;0;1;50;male;435
;Child;;1;1;14;female;436
;Female;;0;3;21;female;437
;Female;;1;2;24;female;438
;Male;;0;1;64;male;439
;Male;;0;2;31;male;440
;Female;;1;2;45;female;441
;Male;;0;3;20;male;442
;Male;;0;3;25;male;443
;Female;;1;2;28;female;444
;Child;;1;3;;male;445
;Child;;1;1;4;male;446
;Child;;1;2;13;female;447
;Male;;1;1;34;male;448
;Child;;1;3;5;female;449
;Male;;1;1;52;male;450
;Male;;0;2;36;male;451
;Child;;0;3;;male;452
;Male;;0;1;30;male;453
;Male;;1;1;49;male;454
;Child;;0;3;;male;455
;Male;;1;3;29;male;456
;Male;;0;1;65;male;457
;Child;;1;1;;female;458
;Female;;1;2;50;female;459
;Child;;0;3;;male;460
;Male;;1;1;48;male;461
;Male;;0;3;34;male;462
;Male;;0;1;47;male;463
;Male;;0;2;48;male;464
;Child;;0;3;;male;465
;Male;;0;3;38;male;466
;Child;;0;2;;male;467
;Male;;0;1;56;male;468
;Child;;0;3;;male;469
;Child;;1;3;0.75;female;470
;Child;;0;3;;male;471
;Male;;0;3;38;male;472
;Female;;1;2;33;female;473
;Female;;1;2;23;female;474
;Female;;0;3;22;female;475
;Child;;0;1;;male;476
;Male;;0;2;34;male;477
;Male;;0;3;29;male;478
;Male;;0;3;22;male;479
;Child;;1;3;2;female;480
;Child;;0;3;9;male;481
;Child;;0;2;;male;482
;Male;;0;3;50;male;483
;Female;;1;3;63;female;484
;Male;;1;1;25;male;485
;Child;;0;3;;female;486
;Female;;1;1;35;female;487
;Male;;0;1;58;male;488
;Male;;0;3;30;male;489
;Child;;1;3;9;male;490
;Child;;0;3;;male;491
;Male;;0;3;21;male;492
;Male;;0;1;55;male;493
;Male;;0;1;71;male;494
;Male;;0;3;21;male;495
;Child;;0;3;;male;496
;Female;;1;1;54;female;497
;Child;;0;3;;male;498
;Female;;0;1;25;female;499
;Male;;0;3;24;male;500
;Child;;0;3;17;male;501
;Female;;0;3;21;female;502
;Child;;0;3;;female;503
;Female;;0;3;37;female;504
;Child;;1;1;16;female;505
;Male;;0;1;18;male;506
;Female;;1;2;33;female;507
;Child;;1;1;;male;508
;Male;;0;3;28;male;509
;Male;;1;3;26;male;510
;Male;;1;3;29;male;511
;Child;;0;3;;male;512
;Male;;1;1;36;male;513
;Female;;1;1;54;female;514
;Male;;0;3;24;male;515
;Male;;0;1;47;male;516
;Female;;1;2;34;female;517
;Child;;0;3;;male;518
;Female;;1;2;36;female;519
;Male;;0;3;32;male;520
;Female;;1;1;30;female;521
;Male;;0;3;22;male;522
;Child;;0;3;;male;523
;Female;;1;1;44;female;524
;Child;;0;3;;male;525
;Male;;0;3;40.5;male;526
;Female;;1;2;50;female;527
;Child;;0;1;;male;528
;Male;;0;3;39;male;529
;Male;;0;2;23;male;530
;Child;;1;2;2;female;531
;Child;;0;3;;male;532
;Child;;0;3;17;male;533
;Child;;1;3;;female;534
;Female;;0;3;30;female;535
;Child;;1;2;7;female;536
;Male;;0;1;45;male;537
;Female;;1;1;30;female;538
;Child;;0;3;;male;539
;Female;;1;1;22;female;540
;Female;;1;1;36;female;541
;Child;;0;3;9;female;542
;Child;;0;3;11;female;543
;Male;;1;2;32;male;544
;Male;;0;1;50;male;545
;Male;;0;1;64;male;546
;Female;;1;2;19;female;547
;Child;;1;2;;male;548
;Male;;0;3;33;male;549
;Child;;1;2;8;male;550
;Child;;1;1;17;male;551
;Male;;0;2;27;male;552
;Child;;0;3;;male;553
;Male;;1;3;22;male;554
;Female;;1;3;22;female;555
;Male;;0;1;62;male;556
;Female;;1;1;48;female;557
;Child;;0;1;;male;558
;Female;;1;1;39;female;559
;Female;;1;3;36;female;560
;Child;;0;3;;male;561
;Male;;0;3;40;male;562
;Male;;0;2;28;male;563
;Child;;0;3;;male;564
;Child;;0;3;;female;565
;Male;;0;3;24;male;566
;Male;;0;3;19;male;567
;Female;;0;3;29;female;568
;Child;;0;3;;male;569
;Male;;1;3;32;male;570
;Male;;1;2;62;male;571
;Female;;1;1;53;female;572
;Male;;1;1;36;male;573
;Child;;1;3;;female;574
;Child;;0;3;16;male;575
;Male;;0;3;19;male;576
;Female;;1;2;34;female;577
;Female;;1;1;39;female;578
;Child;;0;3;;female;579
;Male;;1;3;32;male;580
;Female;;1;2;25;female;581
;Female;;1;1;39;female;582
;Male;;0;2;54;male;583
;Male;;0;1;36;male;584
;Child;;0;3;;male;585
;Female;;1;1;18;female;586
;Male;;0;2;47;male;587
;Male;;1;1;60;male;588
;Male;;0;3;22;male;589
;Child;;0;3;;male;590
;Male;;0;3;35;male;591
;Female;;1;1;52;female;592
;Male;;0;3;47;male;593
;Child;;0;3;;female;594
;Male;;0;2;37;male;595
;Male;;0;3;36;male;596
;Child;;1;2;;female;597
;Male;;0;3;49;male;598
;Child;;0;3;;male;599
;Male;;1;1;49;male;600
;Female;;1;2;24;female;601
;Child;;0;3;;male;602
;Child;;0;1;;male;603
;Male;;0;3;44;male;604
;Male;;1;1;35;male;605
;Male;;0;3;36;male;606
;Male;;0;3;30;male;607
;Male;;1;1;27;male;608
;Female;;1;2;22;female;609
;Female;;1;1;40;female;610
;Female;;0;3;39;female;611
;Child;;0;3;;male;612
;Child;;1;3;;female;613
;Child;;0;3;;male;614
;Male;;0;3;35;male;615
;Female;;1;2;24;female;616
;Male;;0;3;34;male;617
;Female;;0;3;26;female;618
;Child;;1;2;4;female;619
;Male;;0;2;26;male;620
;Male;;0;3;27;male;621
;Male;;1;1;42;male;622
;Male;;1;3;20;male;623
;Male;;0;3;21;male;624
;Male;;0;3;21;male;625
;Male;;0;1;61;male;626
;Male;;0;2;57;male;627
;Female;;1;1;21;female;628
;Male;;0;3;26;male;629
;Child;;0;3;;male;630
;Male;;1;1;80;male;631
;Male;;0;3;51;male;632
;Male;;1;1;32;male;633
;Child;;0;1;;male;634
;Child;;0;3;9;female;635
;Female;;1;2;28;female;636
;Male;;0;3;32;male;637
;Male;;0;2;31;male;638
;Female;;0;3;41;female;639
;Child;;0;3;;male;640
;Male;;0;3;20;male;641
;Female;;1;1;24;female;642
;Child;;0;3;2;female;643
;Child;;1;3;;male;644
;Child;;1;3;0.75;female;645
;Male;;1;1;48;male;646
;Male;;0;3;19;male;647
;Male;;1;1;56;male;648
;Child;;0;3;;male;649
;Female;;1;3;23;female;650
;Child;;0;3;;male;651
;Female;;1;2;18;female;652
;Male;;0;3;21;male;653
;Child;;1;3;;female;654
;Female;;0;3;18;female;655
;Male;;0;2;24;male;656
;Child;;0;3;;male;657
;Female;;0;3;32;female;658
;Male;;0;2;23;male;659
;Male;;0;1;58;male;660
;Male;;1;1;50;male;661
;Male;;0;3;40;male;662
;Male;;0;1;47;male;663
;Male;;0;3;36;male;664
;Male;;1;3;20;male;665
;Male;;0;2;32;male;666
;Male;;0;2;25;male;667
;Child;;0;3;;male;668
;Male;;0;3;43;male;669
;Child;;1;1;;female;670
;Female;;1;2;40;female;671
;Male;;0;1;31;male;672
;Male;;0;2;70;male;673
;Male;;1;2;31;male;674
;Child;;0;2;;male;675
;Male;;0;3;18;male;676
;Male;;0;3;24.5;male;677
;Female;;1;3;18;female;678
;Female;;0;3;43;female;679
;Male;;1;1;36;male;680
;Child;;0;3;;female;681
;Male;;1;1;27;male;682
;Male;;0;3;20;male;683
;Child;;0;3;14;male;684
;Male;;0;2;60;male;685
;Male;;0;2;25;male;686
;Child;;0;3;14;male;687
;Male;;0;3;19;male;688
;Male;;0;3;18;male;689
;Child;;1;1;15;female;690
;Male;;1;1;31;male;691
;Child;;1;3;4;female;692
;Child;;1;3;;male;693
;Male;;0;3;25;male;694
;Male;;0;1;60;male;695
;Male;;0;2;52;male;696
;Male;;0;3;44;male;697
;Child;;1;3;;female;698
;Male;;0;1;49;male;699
;Male;;0;3;42;male;700
;Female;;1;1;18;female;701
;Male;;1;1;35;male;702
;Female;;0;3;18;female;703
;Male;;0;3;25;male;704
;Male;;0;3;26;male;705
;Male;;0;2;39;male;706
;Female;;1;2;45;female;707
;Male;;1;1;42;male;708
;Female;;1;1;22;female;709
;Child;;1;3;;male;710
;Female;;1;1;24;female;711
;Child;;0;1;;male;712
;Male;;1;1;48;male;713
;Male;;0;3;29;male;714
;Male;;0;2;52;male;715
;Male;;0;3;19;male;716
;Female;;1;1;38;female;717
;Female;;1;2;27;female;718
;Child;;0;3;;male;719
;Male;;0;3;33;male;720
;Child;;1;2;6;female;721
;Child;;0;3;17;male;722
;Male;;0;2;34;male;723
;Male;;0;2;50;male;724
;Male;;1;1;27;male;725
;Male;;0;3;20;male;726
;Female;;1;2;30;female;727
;Child;;1;3;;female;728
;Male;;0;2;25;male;729
;Female;;0;3;25;female;730
;Female;;1;1;29;female;731
;Child;;0;3;11;male;732
;Child;;0;2;;male;733
;Male;;0;2;23;male;734
;Male;;0;2;23;male;735
;Male;;0;3;28.5;male;736
;Female;;0;3;48;female;737
;Male;;1;1;35;male;738
;Child;;0;3;;male;739
;Child;;0;3;;male;740
;Child;;1;1;;male;741
;Male;;0;1;36;male;742
;Female;;1;1;21;female;743
;Male;;0;3;24;male;744
;Male;;1;3;31;male;745
;Male;;0;1;70;male;746
;Child;;0;3;16;male;747
;Female;;1;2;30;female;748
;Male;;0;1;19;male;749
;Male;;0;3;31;male;750
;Child;;1;2;4;female;751
;Child;;1;3;6;male;752
;Male;;0;3;33;male;753
;Male;;0;3;23;male;754
;Female;;1;2;48;female;755
;Child;;1;2;0.67;male;756
;Male;;0;3;28;male;757
;Male;;0;2;18;male;758
;Male;;0;3;34;male;759
;Female;;1;1;33;female;760
;Child;;0;3;;male;761
;Male;;0;3;41;male;762
;Male;;1;3;20;male;763
;Female;;1;1;36;female;764
;Child;;0;3;16;male;765
;Female;;1;1;51;female;766
;Child;;0;1;;male;767
;Female;;0;3;30.5;female;768
;Child;;0;3;;male;769
;Male;;0;3;32;male;770
;Male;;0;3;24;male;771
;Male;;0;3;48;male;772
;Female;;0;2;57;female;773
;Child;;0;3;;male;774
;Female;;1;2;54;female;775
;Male;;0;3;18;male;776
;Child;;0;3;;male;777
;Child;;1;3;5;female;778
;Child;;0;3;;male;779
;Female;;1;1;43;female;780
;Child;;1;3;13;female;781
;Child;;1;1;17;female;782
;Male;;0;1;29;male;783
;Child;;0;3;;male;784
;Male;;0;3;25;male;785
;Male;;0;3;25;male;786
;Female;;1;3;18;female;787
;Child;;0;3;8;male;788
;Child;;1;3;1;male;789
;Male;;0;1;46;male;790
;Child;;0;3;;male;791
;Child;;0;2;16;male;792
;Child;;0;3;;female;793
;Child;;0;1;;male;794
;Male;;0;3;25;male;795
;Male;;0;2;39;male;796
;Female;;1;1;49;female;797
;Female;;1;3;31;female;798
;Male;;0;3;30;male;799
;Female;;0;3;30;female;800
;Male;;0;2;34;male;801
;Female;;1;2;31;female;802
;Child;;1;1;11;male;803
;Child;;1;3;0.42;male;804
;Male;;1;3;27;male;805
;Male;;0;3;31;male;806
;Male;;0;1;39;male;807
;Female;;0;3;18;female;808
;Male;;0;2;39;male;809
;Female;;1;1;33;female;810
;Male;;0;3;26;male;811
;Male;;0;3;39;male;812
;Male;;0;2;35;male;813
;Child;;0;3;6;female;814
;Male;;0;3;30.5;male;815
;Child;;0;1;;male;816
;Female;;0;3;23;female;817
;Male;;0;2;31;male;818
;Male;;0;3;43;male;819
;Child;;0;3;10;male;820
;Female;;1;1;52;female;821
;Male;;1;3;27;male;822
;Male;;0;1;38;male;823
;Female;;1;3;27;female;824
;Child;;0;3;2;male;825
;Child;;0;3;;male;826
;Child;;0;3;;male;827
;Child;;1;2;1;male;828
;Child;;1;3;;male;829
;Female;;1;1;62;female;830
;Child;;1;3;15;female;831
;Child;;1;2;0.83;male;832
;Child;;0;3;;male;833
;Male;;0;3;23;male;834
;Male;;0;3;18;male;835
;Female;;1;1;39;female;836
;Male;;0;3;21;male;837
;Child;;0;3;;male;838
;Male;;1;3;32;male;839
;Child;;1;1;;male;840
;Male;;0;3;20;male;841
;Child;;0;2;16;male;842
;Female;;1;1;30;female;843
;Male;;0;3;34.5;male;844
;Child;;0;3;17;male;845
;Male;;0;3;42;male;846
;Child;;0;3;;male;847
;Male;;0;3;35;male;848
;Male;;0;2;28;male;849
;Child;;1;1;;female;850
;Child;;0;3;4;male;851
;Male;;0;3;74;male;852
;Child;;0;3;9;female;853
;Child;;1;1;16;female;854
;Female;;0;2;44;female;855
;Female;;1;3;18;female;856
;Female;;1;1;45;female;857
;Male;;1;1;51;male;858
;Female;;1;3;24;female;859
;Child;;0;3;;male;860
;Male;;0;3;41;male;861
;Male;;0;2;21;male;862
;Female;;1;1;48;female;863
;Child;;0;3;;female;864
;Male;;0;2;24;male;865
;Female;;1;2;42;female;866
;Female;;1;2;27;female;867
;Male;;0;1;31;male;868
;Child;;0;3;;male;869
;Child;;1;3;4;male;870
;Male;;0;3;26;male;871
;Female;;1;1;47;female;872
;Male;;0;1;33;male;873
;Male;;0;3;47;male;874
;Female;;1;2;28;female;875
;Child;;1;3;15;female;876
;Male;;0;3;20;male;877
;Male;;0;3;19;male;878
;Child;;0;3;;male;879
;Female;;1;1;56;female;880
;Female;;1;2;25;female;881
;Male;;0;3;33;male;882
;Female;;0;3;22;female;883
;Male;;0;2;28;male;884
;Male;;0;3;25;male;885
;Female;;0;3;39;female;886
;Male;;0;2;27;male;887
;Female;;1;1;19;female;888
;Child;;0;3;;female;889
;Male;;1;1;26;male;890
;Male;;0;3;32;male;891
